,Unnamed: 0,trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,imagefile,corrAns,angle,participant,session,date,expName,psychopyVersion,frameRate
16,16,d,1,1.937000036,1,0,100,28,1,99,i13_150_R.jpg,d,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
17,17,d,1,1.670000076,1,0,100,31,1,99,i14_150_R.jpg,d,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
18,18,d,1,1.601999998,1,0,100,48,1,99,i22_150_R.jpg,d,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
19,19,s,1,2.470000029,1,0,100,36,1,99,i17_50.jpg,s,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
20,20,s,1,2.902000189,1,0,100,70,1,99,i32_150.jpg,s,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
21,21,d,1,2.701999903,1,0,100,57,1,99,i26_150_R.jpg,d,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
22,22,s,1,3.703000069,1,0,100,72,1,99,i33_150.jpg,s,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
23,23,d,1,1.236000061,1,0,100,82,1,99,i38_100_R.jpg,d,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
24,24,s,1,2.053000212,1,0,100,2,1,99,i1_100.jpg,s,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
25,25,s,1,1.753000021,1,0,100,6,1,99,i3_100.jpg,s,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
26,26,d,1,1.885999918,1,0,100,71,1,99,i33_100_R.jpg,d,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
27,27,s,1,3.450999975,1,0,100,83,1,99,i38_150.jpg,s,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
28,28,d,0,1.305999994,1,0,100,8,1,99,i4_100.jpg,s,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
29,29,d,1,1.6340000630000002,1,0,100,30,1,99,i14_50_R.jpg,d,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
30,30,d,1,2.903999805,1,0,100,5,1,99,i3_50_R.jpg,d,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
31,31,s,1,2.7039999960000003,1,0,100,34,1,99,i16_50.jpg,s,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
32,32,d,1,1.47300005,1,0,100,1,1,99,i1_50_R.jpg,d,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
33,33,d,1,2.952000141,1,0,100,80,1,99,i37_100_R.jpg,d,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
34,34,s,1,1.888000011,1,0,100,17,1,99,i8_100.jpg,s,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
35,35,d,1,1.870000124,1,0,100,50,1,99,i23_150_R.jpg,d,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
36,36,d,0,2.286999941,1,0,100,56,1,99,i26_50.jpg,s,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
37,37,d,1,2.8689999580000003,1,0,100,14,1,99,i7_50_R.jpg,d,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
38,38,d,1,1.937000036,1,0,100,7,1,99,i4_50_R.jpg,d,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
39,39,d,1,1.671000004,1,0,100,67,1,99,i31_100_R.jpg,d,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
40,40,s,1,2.335999966,1,0,100,65,1,99,i30_50.jpg,s,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
41,41,s,1,1.7860000130000002,1,0,100,41,1,99,i19_50.jpg,s,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
42,42,d,1,1.721999884,1,0,100,16,1,99,i8_50_R.jpg,d,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
43,43,d,1,1.888000011,1,0,100,10,1,99,i5_50_R.jpg,d,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
44,44,d,1,1.4700000290000002,1,0,100,46,1,99,i21_150_R.jpg,d,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
45,45,s,1,2.304000139,1,0,100,61,1,99,i28_150.jpg,s,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
46,46,s,1,2.569999933,1,0,100,0,1,99,i1_0.jpg,s,0,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
47,47,d,1,1.851999998,1,0,100,73,1,99,i34_100_R.jpg,d,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
48,48,d,1,1.236000061,1,0,100,27,1,99,i13_50_R.jpg,d,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
49,49,s,1,4.45299983,1,0,100,79,1,99,i36_150.jpg,s,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
50,50,d,1,1.703999996,1,0,100,55,1,99,i25_150_R.jpg,d,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
51,51,s,1,1.920000076,1,0,100,18,1,99,i9_0.jpg,s,0,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
52,52,d,1,0.902999878,1,0,100,32,1,99,i15_50_R.jpg,d,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
53,53,d,0,1.919999838,1,0,100,20,1,99,i9_100.jpg,s,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
54,54,d,0,0.854000092,1,0,100,11,1,99,i5_100.jpg,s,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
55,55,d,1,2.402999878,1,0,100,42,1,99,i19_150_R.jpg,d,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
56,56,s,1,1.421000004,1,0,100,9,1,99,i5_0.jpg,s,0,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
57,57,s,1,2.437999964,1,0,100,51,1,99,i24_50.jpg,s,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
58,58,d,1,2.536999941,1,0,100,78,1,99,i36_100_R.jpg,d,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
59,59,d,1,1.621000051,1,0,100,93,1,99,i43_100_R.jpg,d,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
60,60,d,1,1.085999966,1,0,100,25,1,99,i12_50_R.jpg,d,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
61,61,s,1,1.5870001319999998,1,0,100,43,1,99,i20_50.jpg,s,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
62,62,d,1,3.487999916,1,0,100,96,1,99,i45_100_R.jpg,d,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
63,63,d,1,1.4700000290000002,1,0,100,23,1,99,i11_50_R.jpg,d,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
64,64,s,1,1.93599987,1,0,100,45,1,99,i21_50.jpg,s,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
65,65,d,1,1.353000164,1,0,100,35,1,99,i16_150_R.jpg,d,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
66,66,s,1,0.8359999659999999,1,0,100,53,1,99,i25_0.jpg,s,0,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
67,67,d,1,1.703000069,1,0,100,89,1,99,i41_100_R.jpg,d,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
68,68,s,1,2.42200017,1,0,100,58,1,99,i27_50.jpg,s,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
69,69,d,1,1.137000084,1,0,100,85,1,99,i39_100_R.jpg,d,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
70,70,d,1,1.319999933,1,0,100,19,1,99,i9_50_R.jpg,d,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
71,71,d,0,2.653000116,1,0,100,77,1,99,i35_150.jpg,s,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
72,72,s,1,1.1549999709999998,1,0,100,94,1,99,i44_0.jpg,s,0,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
73,73,s,1,4.353999853,1,0,100,97,1,99,i46_100.jpg,s,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
74,74,d,0,3.2869999410000004,1,0,100,86,1,99,i39_150.jpg,s,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
75,75,d,1,3.154000044,1,0,100,87,1,99,i40_100_R.jpg,d,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
76,76,s,1,1.585999966,1,0,100,22,1,99,i10_100.jpg,s,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
77,77,s,1,2.8379998210000004,1,0,100,66,1,99,i30_150.jpg,s,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
78,78,s,1,3.936000109,1,0,100,68,1,99,i31_150.jpg,s,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
79,79,s,1,1.138999939,1,0,100,47,1,99,i22_50.jpg,s,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
80,80,s,1,3.653000116,1,0,100,4,1,99,i2_100.jpg,s,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
81,81,d,1,3.005999804,1,0,100,37,1,99,i17_150_R.jpg,d,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
82,82,s,1,4.135999918,1,0,100,92,1,99,i42_150.jpg,s,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
83,83,s,1,1.986999989,1,0,100,84,1,99,i39_0.jpg,s,0,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
84,84,s,1,1.7880001069999998,1,0,100,26,1,99,i12_100.jpg,s,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
85,85,s,1,3.819999933,1,0,100,64,1,99,i29_150.jpg,s,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
86,86,d,1,5.5199999810000016,1,0,100,69,1,99,i32_100_R.jpg,d,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
87,87,d,0,4.903000116,1,0,100,13,1,99,i6_100.jpg,s,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
88,88,s,1,1.038000107,1,0,100,38,1,99,i18_50.jpg,s,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
89,89,d,1,2.022000074,1,0,100,91,1,99,i42_100_R.jpg,d,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
90,90,s,1,1.019999981,1,0,100,75,1,99,i35_0.jpg,s,0,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
91,91,s,1,1.470999956,1,0,100,63,1,99,i29_50.jpg,s,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
92,92,s,1,0.751999855,1,0,100,62,1,99,i29_0.jpg,s,0,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
93,93,d,1,1.4700000290000002,1,0,100,59,1,99,i27_150_R.jpg,d,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
94,94,d,0,1.604000092,1,0,100,90,1,99,i41_150.jpg,s,150,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
95,95,d,1,3.586999893,1,0,100,76,1,99,i35_100_R.jpg,d,100,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
96,96,s,1,1.3700001240000002,1,0,100,40,1,99,i19_0.jpg,s,0,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
97,97,s,1,1.005000114,1,0,100,29,1,99,i14_0.jpg,s,0,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
98,98,d,1,1.303999901,1,0,100,21,1,99,i10_50_R.jpg,d,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
99,99,s,1,1.453000069,1,0,100,60,1,99,i28_50.jpg,s,50,Subject1,1,2019-10-16_10h06.54.797,MentalRotationFinal,3.1.2,60
100,0,s,1,6.5299999710000005,1,0,100,38,1,99,i18_50.jpg,s,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
101,1,s,1,4.181999922,1,0,100,9,1,99,i5_0.jpg,s,0,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
102,2,d,0,12.52800012,1,0,100,72,1,99,i33_150.jpg,s,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
103,3,s,1,3.782999992,1,0,100,4,1,99,i2_100.jpg,s,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
104,4,d,1,5.325000048,1,0,100,48,1,99,i22_150_R.jpg,d,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
105,5,s,1,5.67599988,1,0,100,66,1,99,i30_150.jpg,s,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
106,6,d,1,6.078999996,1,0,100,14,1,99,i7_50_R.jpg,d,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
107,7,d,1,5.006999969,1,0,100,27,1,99,i13_50_R.jpg,d,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
108,8,d,1,6.473999977,1,0,100,37,1,99,i17_150_R.jpg,d,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
109,9,d,1,8.049000025,1,0,100,44,1,99,i20_150_R.jpg,d,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
110,10,s,1,6.075999975,1,0,100,74,1,99,i34_150.jpg,s,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
111,11,d,1,10.40699983,1,0,100,67,1,99,i31_100_R.jpg,d,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
112,12,s,1,6.080000162,1,0,100,90,1,99,i41_150.jpg,s,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
113,13,s,1,2.823000193,1,0,100,60,1,99,i28_50.jpg,s,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
114,14,d,1,5.799000025,1,0,100,89,1,99,i41_100_R.jpg,d,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
115,15,d,1,2.299000025,1,0,100,73,1,99,i34_100_R.jpg,d,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
116,16,d,1,4.307999849,1,0,100,5,1,99,i3_50_R.jpg,d,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
117,17,s,1,4.439999819,1,0,100,92,1,99,i42_150.jpg,s,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
118,18,s,1,5.131999969,1,0,100,49,1,99,i23_50.jpg,s,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
119,19,s,1,2.555999994,1,0,100,47,1,99,i22_50.jpg,s,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
120,20,s,0,3.640000105,1,0,100,35,1,99,i16_150_R.jpg,d,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
121,21,s,1,10.95799994,1,0,100,64,1,99,i29_150.jpg,s,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
122,22,s,1,6.94299984,1,0,100,22,1,99,i10_100.jpg,s,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
123,23,s,1,6.794999838,1,0,100,86,1,99,i39_150.jpg,s,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
124,24,s,1,2.888999939,1,0,100,53,1,99,i25_0.jpg,s,0,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
125,25,s,1,2.551000118,1,0,100,34,1,99,i16_50.jpg,s,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
126,26,s,1,6.082000017,1,0,100,97,1,99,i46_100.jpg,s,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
127,27,s,1,2.287999868,1,0,100,18,1,99,i9_0.jpg,s,0,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
128,28,d,1,1.700999975,1,0,100,30,1,99,i14_50_R.jpg,d,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
129,29,d,1,3.45299983,1,0,100,85,1,99,i39_100_R.jpg,d,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
130,30,s,1,1.967999935,1,0,100,0,1,99,i1_0.jpg,s,0,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
131,31,s,1,1.73300004,1,0,100,84,1,99,i39_0.jpg,s,0,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
132,32,d,1,1.91899991,1,0,100,25,1,99,i12_50_R.jpg,d,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
133,33,s,1,6.329999924,1,0,100,8,1,99,i4_100.jpg,s,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
134,34,s,1,7.384000062999999,1,0,100,13,1,99,i6_100.jpg,s,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
135,35,s,1,1.263999939,1,0,100,40,1,99,i19_0.jpg,s,0,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
136,36,d,1,4.930000067,1,0,100,76,1,99,i35_100_R.jpg,d,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
137,37,d,1,8.869000196,1,0,100,91,1,99,i42_100_R.jpg,d,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
138,38,s,1,15.85699987,1,0,100,99,1,99,i48_100.jpg,s,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
139,39,s,1,4.359999895,1,0,100,65,1,99,i30_50.jpg,s,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
140,40,d,1,2.448999882,1,0,100,1,1,99,i1_50_R.jpg,d,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
141,41,s,1,15.52200007,1,0,100,41,1,99,i19_50.jpg,s,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
142,42,d,1,4.3439998630000005,1,0,100,69,1,99,i32_100_R.jpg,d,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
143,43,d,1,2.585999966,1,0,100,32,1,99,i15_50_R.jpg,d,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
144,44,s,0,4.041000128,1,0,100,95,1,99,i44_100_R.jpg,d,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
145,45,s,1,25.33599997,1,0,100,77,1,99,i35_150.jpg,s,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
146,46,d,1,6.434000015,1,0,100,71,1,99,i33_100_R.jpg,d,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
147,47,d,1,4.807999849,1,0,100,23,1,99,i11_50_R.jpg,d,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
148,48,s,1,2.787999868,1,0,100,98,1,99,i47_100.jpg,s,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
149,49,s,1,3.508000135,1,0,100,26,1,99,i12_100.jpg,s,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
150,50,d,1,4.2900002,1,0,100,87,1,99,i40_100_R.jpg,d,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
151,51,s,1,1.111000061,1,0,100,29,1,99,i14_0.jpg,s,0,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
152,52,d,1,4.707000017,1,0,100,96,1,99,i45_100_R.jpg,d,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
153,53,s,1,2.78399992,1,0,100,51,1,99,i24_50.jpg,s,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
154,54,s,1,3.019999981,1,0,100,45,1,99,i21_50.jpg,s,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
155,55,s,1,10.69199991,1,0,100,6,1,99,i3_100.jpg,s,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
156,56,s,1,2.583000183,1,0,100,62,1,99,i29_0.jpg,s,0,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
157,57,d,1,5.012000083999999,1,0,100,78,1,99,i36_100_R.jpg,d,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
158,58,s,1,3.3289999960000003,1,0,100,61,1,99,i28_150.jpg,s,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
159,59,d,1,3.589999914,1,0,100,19,1,99,i9_50_R.jpg,d,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
160,60,s,1,3.874000072,1,0,100,56,1,99,i26_50.jpg,s,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
161,61,d,1,8.917999983,1,0,100,59,1,99,i27_150_R.jpg,d,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
162,62,s,1,2.586000204,1,0,100,58,1,99,i27_50.jpg,s,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
163,63,d,1,4.162000179,1,0,100,93,1,99,i43_100_R.jpg,d,100,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
164,64,d,1,3.555999994,1,0,100,16,1,99,i8_50_R.jpg,d,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
165,65,d,1,6.075999975,1,0,100,28,1,99,i13_150_R.jpg,d,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
166,66,d,1,2.621999979,1,0,100,46,1,99,i21_150_R.jpg,d,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
167,67,d,1,3.489000082,1,0,100,42,1,99,i19_150_R.jpg,d,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
168,68,s,0,3.555000067,1,0,100,50,1,99,i23_150_R.jpg,d,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
169,69,s,1,3.039000034,1,0,100,83,1,99,i38_150.jpg,s,150,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
170,70,d,1,3.489000082,1,0,100,7,1,99,i4_50_R.jpg,d,50,Subject2,1,2019-10-16_10h15.03.136,MentalRotationFinal,3.1.2,60
