,Unnamed: 0,signal_present,signal_type,trial_num,button_position,subject_number,responses,rt,correct_resp,sdt-amk1048
117,117.0,1.0,25.0,117.0,left,jl13312,1.0,6.702999999999999,1.0,
118,118.0,0.0,0.0,118.0,left,jl13312,1.0,5.779,0.0,
119,119.0,1.0,60.0,119.0,left,jl13312,1.0,6.029999999999999,1.0,
120,120.0,0.0,0.0,120.0,left,jl13312,1.0,6.048,0.0,
121,121.0,0.0,0.0,121.0,left,jl13312,1.0,7.047000000000001,0.0,
122,122.0,1.0,25.0,122.0,left,jl13312,1.0,6.029999999999999,1.0,
123,123.0,0.0,0.0,123.0,left,jl13312,1.0,6.055,0.0,
124,124.0,1.0,60.0,124.0,left,jl13312,1.0,5.539,1.0,
125,125.0,0.0,0.0,125.0,left,jl13312,1.0,5.927,0.0,
126,126.0,1.0,10.0,126.0,left,jl13312,1.0,5.797,1.0,
127,127.0,1.0,15.0,127.0,left,jl13312,1.0,5.752,1.0,
128,128.0,0.0,0.0,128.0,left,jl13312,1.0,5.49,0.0,
129,129.0,0.0,0.0,129.0,left,jl13312,1.0,5.645,0.0,
130,130.0,0.0,0.0,130.0,left,jl13312,1.0,5.614,0.0,
131,131.0,1.0,25.0,131.0,left,jl13312,1.0,5.35,1.0,
132,132.0,1.0,60.0,132.0,left,jl13312,1.0,6.053,1.0,
133,133.0,1.0,25.0,133.0,left,jl13312,1.0,6.064,1.0,
134,134.0,0.0,0.0,134.0,left,jl13312,1.0,5.621,0.0,
135,135.0,1.0,60.0,135.0,left,jl13312,1.0,1430.2220000000002,1.0,
136,136.0,0.0,0.0,136.0,left,jl13312,1.0,22415.398,0.0,
137,137.0,1.0,10.0,137.0,left,jl13312,1.0,194.717,1.0,
138,138.0,0.0,0.0,138.0,left,jl13312,1.0,217.974,0.0,
139,139.0,1.0,15.0,139.0,left,jl13312,1.0,145.874,1.0,
140,140.0,0.0,0.0,140.0,left,jl13312,1.0,113.104,0.0,
141,141.0,0.0,0.0,141.0,left,jl13312,1.0,82.706,0.0,
142,142.0,0.0,0.0,142.0,left,jl13312,1.0,63.35399999999999,0.0,
143,143.0,0.0,0.0,143.0,left,jl13312,1.0,103.368,0.0,
144,144.0,0.0,0.0,144.0,left,jl13312,1.0,135.873,0.0,
145,145.0,0.0,0.0,145.0,left,jl13312,1.0,155.45600000000002,0.0,
146,146.0,0.0,0.0,146.0,left,jl13312,1.0,8.954,0.0,
147,147.0,0.0,0.0,147.0,left,jl13312,1.0,6.4590000000000005,0.0,
148,148.0,1.0,10.0,148.0,left,jl13312,1.0,7.274,1.0,
149,149.0,1.0,15.0,149.0,left,jl13312,1.0,8.998000000000001,1.0,
150,150.0,1.0,25.0,150.0,left,jl13312,1.0,6.2490000000000006,1.0,
151,151.0,1.0,10.0,151.0,left,jl13312,1.0,6.303999999999999,1.0,
152,152.0,1.0,60.0,152.0,left,jl13312,1.0,8.819,1.0,
153,153.0,1.0,10.0,153.0,left,jl13312,1.0,6.495,1.0,
154,154.0,1.0,15.0,154.0,left,jl13312,1.0,6.56,1.0,
155,155.0,0.0,0.0,155.0,left,jl13312,1.0,7.516,0.0,
156,156.0,0.0,0.0,156.0,left,jl13312,1.0,6.979,0.0,
157,157.0,0.0,0.0,157.0,left,jl13312,1.0,5.533,0.0,
158,158.0,0.0,0.0,158.0,left,jl13312,1.0,7.26,0.0,
159,159.0,1.0,25.0,159.0,left,jl13312,1.0,6.57,1.0,
160,160.0,1.0,15.0,160.0,left,jl13312,1.0,8.62,1.0,
161,161.0,0.0,0.0,161.0,left,jl13312,1.0,5.907,0.0,
162,162.0,1.0,60.0,162.0,left,jl13312,1.0,5.689,1.0,
163,163.0,0.0,0.0,163.0,left,jl13312,1.0,5.492999999999999,0.0,
164,164.0,1.0,60.0,164.0,left,jl13312,1.0,6.036,1.0,
165,165.0,0.0,0.0,165.0,left,jl13312,1.0,5.39,0.0,
166,166.0,1.0,10.0,166.0,left,jl13312,1.0,6.1770000000000005,1.0,
167,167.0,0.0,0.0,167.0,left,jl13312,1.0,1465.0449999999998,0.0,
168,168.0,0.0,0.0,168.0,left,jl13312,1.0,5.984,0.0,
169,169.0,1.0,15.0,169.0,left,jl13312,1.0,6.212,1.0,
170,170.0,0.0,0.0,170.0,left,jl13312,1.0,8.218,0.0,
171,171.0,0.0,0.0,171.0,left,jl13312,1.0,7.884,0.0,
172,172.0,0.0,0.0,172.0,left,jl13312,1.0,5.842,0.0,
173,173.0,0.0,0.0,173.0,left,jl13312,1.0,7.125,0.0,
174,174.0,1.0,60.0,174.0,left,jl13312,1.0,6.196,1.0,
175,175.0,0.0,0.0,175.0,left,jl13312,1.0,7.387,0.0,
176,176.0,0.0,0.0,176.0,left,jl13312,1.0,5.982,0.0,
177,177.0,1.0,15.0,177.0,left,jl13312,1.0,7.267,1.0,
178,178.0,0.0,0.0,178.0,left,jl13312,1.0,6.913,0.0,
179,179.0,1.0,25.0,179.0,left,jl13312,1.0,6.253,1.0,
180,180.0,1.0,25.0,180.0,left,jl13312,1.0,6.267,1.0,
181,181.0,1.0,15.0,181.0,left,jl13312,1.0,6.760000000000001,1.0,
182,182.0,1.0,10.0,182.0,left,jl13312,1.0,6.69,1.0,
183,183.0,0.0,0.0,183.0,left,jl13312,1.0,6.414000000000001,0.0,
184,184.0,0.0,0.0,184.0,left,jl13312,1.0,6.061000000000001,0.0,
185,185.0,1.0,15.0,185.0,left,jl13312,1.0,6.831,1.0,
186,186.0,1.0,10.0,186.0,left,jl13312,1.0,6.377,1.0,
187,187.0,1.0,60.0,187.0,left,jl13312,1.0,7.907000000000001,1.0,
188,188.0,1.0,15.0,188.0,left,jl13312,1.0,10.07,1.0,
189,189.0,0.0,0.0,189.0,left,jl13312,1.0,7.097,0.0,
190,190.0,0.0,0.0,190.0,left,jl13312,1.0,7.169,0.0,
191,191.0,1.0,10.0,191.0,left,jl13312,1.0,6.399,1.0,
192,192.0,1.0,10.0,192.0,left,jl13312,1.0,6.892,1.0,
193,193.0,1.0,15.0,193.0,left,jl13312,1.0,6.66,1.0,
194,194.0,1.0,60.0,194.0,left,jl13312,1.0,7.282,1.0,
195,195.0,1.0,15.0,195.0,left,jl13312,1.0,5.687,1.0,
196,196.0,0.0,0.0,196.0,left,jl13312,1.0,6.561,0.0,
197,197.0,1.0,60.0,197.0,left,jl13312,1.0,8.362,1.0,
198,198.0,1.0,15.0,198.0,left,jl13312,1.0,7.37,1.0,
199,199.0,1.0,25.0,199.0,left,jl13312,1.0,7.494,1.0,
200,0.0,1.0,60.0,0.0,left,fj542,1.0,13486.736,1.0,
201,1.0,1.0,10.0,1.0,left,fj542,1.0,7661.937,1.0,
202,2.0,1.0,10.0,2.0,left,fj542,0.0,2515.336,0.0,
203,3.0,1.0,15.0,3.0,left,fj542,0.0,5226.814,0.0,
204,4.0,0.0,0.0,4.0,left,fj542,1.0,6961.878,0.0,
205,5.0,1.0,60.0,5.0,left,fj542,1.0,1329.731,1.0,
206,6.0,0.0,0.0,6.0,left,fj542,0.0,9383.137,1.0,
207,7.0,1.0,60.0,7.0,left,fj542,1.0,1240.261,1.0,
208,8.0,1.0,25.0,8.0,left,fj542,1.0,941.421,1.0,
209,9.0,1.0,15.0,9.0,left,fj542,1.0,1115.41,1.0,
210,10.0,0.0,0.0,10.0,left,fj542,0.0,4323.362,1.0,
211,11.0,0.0,0.0,11.0,left,fj542,0.0,4875.200000000001,1.0,
212,12.0,0.0,0.0,12.0,left,fj542,0.0,1161.171,1.0,
213,13.0,0.0,0.0,13.0,left,fj542,0.0,1693.91,1.0,
214,14.0,1.0,15.0,14.0,left,fj542,1.0,5882.035,1.0,
