,zip,borough,neighborhood,deathper100k,whitepct,medianincome,asthmapct,popdens,medianage,housesize
112,11225,Brooklyn,Crown Heights (West)/Prospect Lefferts Gardens,262.55,27.24,55862,13.4,66617.04,35,2.44
113,11226,Brooklyn,Flatbush/Prospect Lefferts Gardens,329.72,15.25,52052,13.3,77771.06,35,2.71
114,11228,Brooklyn,Bath Beach/Dyker Heights,233.42,55.67,67911,10.2,30559.27,41,2.93
115,11229,Brooklyn,Gerritsen Beach/Homecrest/Sheepshead Bay,221.47,64.63,60873,10.6,38740.3,41,2.69
116,11230,Brooklyn,Midwood,334.12,69.98,49541,10.9,48416.06,34,2.89
117,11231,Brooklyn,Carroll Gardens/Cobble Hill/Red Hook,112.37,65.9,100213,10.7,26621.24,36,2.41
118,11232,Brooklyn,Sunset Park,169.83,41.27,56661,9.7,23174.41,34,2.9
119,11233,Brooklyn,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,219.31,8.76,40449,14.0,56952.7,33,2.57
120,11234,Brooklyn,Bergen Beach/Flatlands/Marine Park/Mill Basin,229.65,41.55,81399,12.3,12910.53,40,3.0
121,11235,Brooklyn,Brighton Beach/Manhattan Beach/Sheepshead Bay,456.54,75.2,52538,10.6,34808.91,45,2.38
122,11236,Brooklyn,Canarsie,336.71,5.86,67669,13.6,27888.92,38,2.97
123,11237,Brooklyn,Bushwick/East Williamsburg,233.33,42.05,51413,10.2,50124.06,30,2.86
124,11238,Brooklyn,Clinton Hill/Prospect Heights,212.89,46.4,85407,12.0,49287.88,36,2.17
125,11239,Brooklyn,East New York,790.95,30.63,27104,13.3,21452.67,47,1.95
126,11354,Queens,Flushing/Murray Hill,626.87,20.78,42500,8.7,25342.42,46,2.65
127,11355,Queens,Flushing/Murray Hill/Queensboro Hill,258.71,13.21,39207,8.2,46592.75,43,2.91
128,11356,Queens,College Point,219.16,35.91,60493,9.6,14815.48,37,3.13
129,11357,Queens,Whitestone,281.55,70.1,83951,10.2,14195.92,46,2.73
130,11358,Queens,Auburndale/Murray Hill,149.9,41.7,66129,9.3,19080.64,44,2.85
131,11360,Queens,Bayside (North),199.52,62.17,86174,10.1,14081.04,49,2.28
132,11361,Queens,Bayside (North)/Bayside (South),238.9,48.64,85887,9.4,15432.39,43,2.67
133,11362,Queens,Douglaston-Little Neck,243.07,49.72,89185,9.3,7397.55,49,2.58
