Zipcode,Borough,Neighborhood,Deaths Per Capita,Household Size
11372,Queens,Jackson Heights,474.6,2.58
11373,Queens,Elmhurst,326.22,3.09
11374,Queens,Rego Park,270.57,2.19
11375,Queens,Forest Hills,304.49,2.22
11377,Queens,Woodside,276.03,2.74
11378,Queens,Maspeth,207.49,2.94
11379,Queens,Middle Village,352.11,2.78
11385,Queens,Glendale/Ridgewood,146.7,3.03
11411,Queens,Cambria Heights,233.88,3.31
11412,Queens,St. Albans,251.98,3.39
11413,Queens,Laurelton/Rosedale,254.59,3.41
11414,Queens,Hamilton Beach/Howard Beach/Lindenwood,282.1,2.73
11415,Queens,Kew Gardens,333.81,2.31
11416,Queens,Ozone Park,287.99,3.75
11417,Queens,Ozone Park,190.07,3.52
11418,Queens,Richmond Hill,263.4,3.48
11419,Queens,Richmond Hill/South Ozone Park,255.64,3.97
11420,Queens,South Ozone Park,234.14,3.68
11421,Queens,Woodhaven,282.15,3.52
11422,Queens,Rosedale,228.47,3.32
11423,Queens,Hollis/Holliswood,382.16,3.16
11426,Queens,Bellerose,198.38,3.26
11427,Queens,Bellerose/Hollis Hills/Holliswood,190.9,3.08
11428,Queens,Queens Village,344.44,3.4
11429,Queens,Queens Village,254.91,3.72
11432,Queens,Hillcrest/Jamaica Estates/Jamaica Hills,441.12,3.1
11433,Queens,Jamaica,290.24,3.46
11434,Queens,Airport/South Jamaica/Springfield Gardens/St. Albans,322.03,2.96
11435,Queens,Briarwood/Jamaica,287.6,3.08
11436,Queens,South Jamaica/South Ozone Park,254.46,3.55
11691,Queens,Edgemere/Far Rockaway,587.83,3.12
11692,Queens,Arverne/Edgemere,456.51,2.95
11693,Queens,Arverne/Broad Channel,244.63,2.61
11694,Queens,Belle Harbor-Neponsit/Rockaway Park,433.12,2.35
11697,Queens,Breezy Point,206.33,2.59
