trialResp.keys,trialResp.corr,trialResp.rt,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,loop.ran,loop.order,x_pos,y_pos,stim_file,corr_ans,participant,session,date,expName,psychopyVersion,OS,frameRate
down,1,0.786000013,1,0,200,188,1,199,0.144381292,0.089744318,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.67200017,1,0,200,156,1,199,0.169965213,0.003438931,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.819999933,1,0,200,34,1,199,0.059950158,0.159078529,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.404999971,1,0,200,154,1,199,0.105329624,0.133437889,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.694000006,1,0,200,40,1,199,0.138988971,-0.097888028,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.526000023,1,0,200,176,1,199,-0.149462638,-0.080999506,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,1.179000139,1,0,200,86,1,199,-0.167859429,-0.026892602,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.693000078,1,0,200,68,1,199,-0.076248361,-0.151941395,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.486999989,1,0,200,19,1,199,-0.097317362,0.139389135,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.944000006,1,0,200,174,1,199,-0.053341206,0.161414732,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.585999966,1,0,200,118,1,199,0.103914805,0.134542608,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,1.059000015,1,0,200,79,1,199,-0.099204446,-0.138052446,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.39199996,1,0,200,140,1,199,-0.106062332,-0.132856245,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,1.065000057,1,0,200,72,1,199,-0.046214717,-0.163597677,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.660999775,1,0,200,56,1,199,0.06635507,-0.15651519,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.394999981,1,0,200,194,1,199,0.009582995,-0.169729686,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,1.154000044,1,0,200,187,1,199,0.133522573,0.105222252,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.458999872,1,0,200,169,1,199,-0.114051525,-0.126064466,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.486000061,1,0,200,133,1,199,0.156734189,-0.065836115,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,0.628999949,1,0,200,65,1,199,-0.169857454,0.006960279,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,2.713999987,1,0,200,149,1,199,0.168152399,-0.024995411,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.67200017,1,0,200,162,1,199,-0.160539156,0.055921188,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.167999983,1,0,200,192,1,199,0.166169002,-0.035886805,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,0.505999804,1,0,200,33,1,199,-0.155523052,-0.068648236,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.710999966,1,0,200,23,1,199,0.163574015,-0.046298398,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.653000116,1,0,200,168,1,199,-0.119890626,-0.120524844,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,1.815000057,1,0,200,144,1,199,-0.102165846,0.135875458,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.417999983,1,0,200,50,1,199,-0.167342323,-0.029942393,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,0.471999884,1,0,200,77,1,199,-0.062440766,0.158117522,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.006999969,1,0,200,44,1,199,-0.13159777,-0.107619826,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.352999926,1,0,200,108,1,199,0.15524456,0.069275729,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,1.154000044,1,0,200,74,1,199,0.161440192,0.0532641,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,2.008000135,1,0,200,191,1,199,-0.155305501,-0.069139001,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.621999979,1,0,200,37,1,199,0.013630793,0.169452653,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.434999943,1,0,200,151,1,199,-0.125638057,-0.114521084,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.417000055,1,0,200,69,1,199,0.109461935,-0.130069538,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,0.469000101,1,0,200,76,1,199,0.032749735,0.166815631,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.421000004,1,0,200,109,1,199,0.160248479,-0.056748789,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.585999966,1,0,200,78,1,199,-0.123063331,-0.117283488,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.659999847,1,0,200,173,1,199,0.130272863,0.109219875,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.325000048,1,0,200,60,1,199,0.097639446,-0.139163711,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.369999886,1,0,200,150,1,199,0.168252868,0.024309925,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.303999901,1,0,200,83,1,199,0.169473658,0.013367092,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.236000061,1,0,200,103,1,199,0.001287675,0.169995123,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.476999998,1,0,200,13,1,199,-0.086859332,0.146135063,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,1,0.444999933,1,0,200,170,1,199,0.111569104,0.128266656,gabor_stims/gabor_00.png,down,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.404000044,1,0,200,25,1,199,0.138252576,-0.098925352,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.35800004,1,0,200,99,1,199,0.051265385,-0.162085966,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
down,0,0.404999971,1,0,200,29,1,199,0.120891035,0.11952137,gabor_stims/gabor_10.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
up,1,0.436999798,1,0,200,53,1,199,-0.110810808,0.128922321,gabor_stims/gabor_50.png,up,mm86,001,2019-11-13_10h09.50.462,sdt_gabor,3.2.4,MacIntel,60
